Participant,Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE,Volume
HW,12/4/2023 15:54,Legs,45m,Squat (Barbell),1,65,8,0,0,,,,520
HW,12/4/2023 15:54,Legs,45m,Squat (Barbell),2,65,9,0,0,,,,585
HW,12/4/2023 15:54,Legs,45m,Squat (Barbell),3,65,7,0,0,,,,455
HW,12/4/2023 15:54,Legs,45m,Squat (Barbell),4,65,7,0,0,,,,455
HW,12/4/2023 15:54,Legs,45m,Leg Extension (Machine),1,59,8,0,0,,,,472
HW,12/4/2023 15:54,Legs,45m,Leg Extension (Machine),2,59,8,0,0,,,,472
HW,12/4/2023 15:54,Legs,45m,Leg Extension (Machine),3,59,8,0,0,,,,472
HW,12/4/2023 15:54,Legs,45m,Leg Extension (Machine),4,59,10,0,0,,,,590
HW,12/4/2023 15:54,Legs,45m,Calf Press on Seated Leg Press,1,30,15,0,0,,,,450
HW,12/4/2023 15:54,Legs,45m,Calf Press on Seated Leg Press,2,30,15,0,0,,,,450
HW,12/4/2023 15:54,Legs,45m,Calf Press on Seated Leg Press,3,30,15,0,0,,,,450
HW,12/4/2023 15:54,Legs,45m,Calf Press on Seated Leg Press,4,30,20,0,0,,,,600
HW,12/4/2023 15:54,Legs,45m,Seated Leg Press (Machine),1,100,10,0,0,,,,1000
HW,12/4/2023 15:54,Legs,45m,Seated Leg Press (Machine),2,100,10,0,0,,,,1000
HW,12/4/2023 15:54,Legs,45m,Seated Leg Press (Machine),3,110,10,0,0,,,,1100
HW,12/4/2023 15:54,Legs,45m,Seated Leg Press (Machine),4,118,12,0,0,,,,1416
HW,14/4/2023 14:19,Push,1h 33m,Seated Overhead Press (Dumbbell),1,15,10,0,0,,,,150
HW,14/4/2023 14:19,Push,1h 33m,Seated Overhead Press (Dumbbell),2,15,10,0,0,,,,150
HW,14/4/2023 14:19,Push,1h 33m,Seated Overhead Press (Dumbbell),3,15,10,0,0,,,,150
HW,14/4/2023 14:19,Push,1h 33m,Seated Overhead Press (Dumbbell),4,12.5,8,0,0,,,,100
HW,14/4/2023 14:19,Push,1h 33m,Triceps Dip,1,0,8,0,0,,,,0
HW,14/4/2023 14:19,Push,1h 33m,Triceps Dip,2,0,8,0,0,,,,0
HW,14/4/2023 14:19,Push,1h 33m,Triceps Dip,3,0,7,0,0,,,,0
HW,14/4/2023 14:19,Push,1h 33m,Bench Press (Dumbbell),1,30,10,0,0,,,,300
HW,14/4/2023 14:19,Push,1h 33m,Bench Press (Dumbbell),2,35,10,0,0,,,,350
HW,14/4/2023 14:19,Push,1h 33m,Bench Press (Dumbbell),3,40,8,0,0,,,,320
HW,14/4/2023 14:19,Push,1h 33m,Bench Press (Dumbbell),4,40,12,0,0,,,,480
HW,16/4/2023 13:55,Pull,47m,Seated Row (Cable),1,41,6,0,0,,,,246
HW,16/4/2023 13:55,Pull,47m,Lat Pulldown (Cable),1,45.5,8,0,0,,,,364
HW,16/4/2023 13:55,Pull,47m,Lat Pulldown (Cable),2,45.5,10,0,0,,,,455
HW,16/4/2023 13:55,Pull,47m,Lat Pulldown (Cable),3,50,8,0,0,,,,400
HW,16/4/2023 13:55,Pull,47m,Lat Pulldown (Cable),4,50,8,0,0,,,,400
HW,16/4/2023 13:55,Pull,47m,Tricep Rope,1,25,10,0,0,,,,250
HW,16/4/2023 13:55,Pull,47m,Tricep Rope,2,27,10,0,0,,,,270
HW,16/4/2023 13:55,Pull,47m,Tricep Rope,3,27,10,0,0,,,,270
HW,16/4/2023 13:55,Pull,47m,Tricep Rope,4,27,10,0,0,,,,270
HW,17/4/2023 16:09,Legs,1h 36m,Squat (Barbell),1,65,8,0,0,,,,520
HW,17/4/2023 16:09,Legs,1h 36m,Squat (Barbell),2,65,8,0,0,,,,520
HW,17/4/2023 16:09,Legs,1h 36m,Squat (Barbell),3,65,8,0,0,,,,520
HW,17/4/2023 16:09,Legs,1h 36m,Squat (Barbell),4,65,8,0,0,,,,520
HW,17/4/2023 16:09,Legs,1h 36m,Leg Extension (Machine),1,59,10,0,0,,,,590
HW,17/4/2023 16:09,Legs,1h 36m,Leg Extension (Machine),2,59,10,0,0,,,,590
HW,17/4/2023 16:09,Legs,1h 36m,Leg Extension (Machine),3,64,10,0,0,,,,640
HW,17/4/2023 16:09,Legs,1h 36m,Leg Extension (Machine),4,64,12,0,0,,,,768
HW,17/4/2023 16:09,Legs,1h 36m,Seated Leg Press (Machine),1,118,10,0,0,,,,1180
HW,17/4/2023 16:09,Legs,1h 36m,Seated Leg Press (Machine),2,118,10,0,0,,,,1180
HW,17/4/2023 16:09,Legs,1h 36m,Seated Leg Press (Machine),3,127,10,0,0,,,,1270
HW,19/4/2023 13:47,Push,1h 41m,Seated Overhead Press (Dumbbell),1,15,8,0,0,,,,120
HW,19/4/2023 13:47,Push,1h 41m,Seated Overhead Press (Dumbbell),2,12.5,10,0,0,,,,125
