Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-12-09 18:35:02,"Simple Push Day",25m,"Overhead Press (Dumbbell)",1,6.0,5,0,0,"","",
2022-12-09 18:35:02,"Simple Push Day",25m,"Lateral Raise (Dumbbell)",1,6.0,14,0,0,"",,
2022-12-09 18:35:02,"Simple Push Day",25m,"Lateral Raise (Dumbbell)",2,6.0,8,0,0,,,
2022-12-09 18:35:02,"Simple Push Day",25m,"Lateral Raise (Dumbbell)",3,6.0,8,0,0,,,
2022-12-09 18:35:02,"Simple Push Day",25m,"Lateral Raise (Dumbbell)",4,6.0,5,0,0,,,
2022-12-09 18:35:02,"Simple Push Day",25m,"Cable Crossover",1,0.0,12,0,0,"",,
2022-12-09 18:35:02,"Simple Push Day",25m,"Cable Crossover",2,7.0,12,0,0,,,
2022-12-09 18:35:02,"Simple Push Day",25m,"Cable Crossover",3,7.0,12,0,0,,,
2022-12-09 18:35:02,"Simple Push Day",25m,"Cable Crossover",4,7.0,12,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Leg Extension (Machine)",1,14.0,8,0,0,"","",
2022-12-09 19:03:52,"Legs",15m,"Leg Extension (Machine)",2,14.0,6,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Leg Extension (Machine)",3,21.0,8,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Leg Extension (Machine)",4,28.0,8,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Lying Leg Curl (Machine)",1,14.0,8,0,0,"",,
2022-12-09 19:03:52,"Legs",15m,"Lying Leg Curl (Machine)",2,21.0,8,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Lying Leg Curl (Machine)",3,21.0,8,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Lying Leg Curl (Machine)",4,21.0,5,0,0,,,
2022-12-09 19:03:52,"Legs",15m,"Standing Calf Raise (Bodyweight)",1,0,15,0,0,"",,
2022-12-09 19:03:52,"Legs",15m,"Standing Calf Raise (Bodyweight)",2,0,30,0,0,,,
2022-12-09 19:20:29,"Back",6m,"Lat Pulldown (Cable)",1,21.0,12,0,0,"","",
2022-12-09 19:20:29,"Back",6m,"Lat Pulldown (Cable)",2,21.0,12,0,0,,,
2022-12-09 19:20:29,"Back",6m,"Lat Pulldown (Cable)",3,28.0,8,0,0,,,
