Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-04-12 15:54:25,"Legs",45m,"Squat (Barbell)",1,65.0,8,0,0,"","",
2023-04-12 15:54:25,"Legs",45m,"Squat (Barbell)",2,65.0,9,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Squat (Barbell)",3,65.0,7,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Squat (Barbell)",4,65.0,7,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Leg Extension (Machine)",1,59.0,8,0,0,"",,
2023-04-12 15:54:25,"Legs",45m,"Leg Extension (Machine)",2,59.0,8,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Leg Extension (Machine)",3,59.0,8,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Leg Extension (Machine)",4,59.0,10,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Calf Press on Seated Leg Press",1,30.0,15,0,0,"",,
2023-04-12 15:54:25,"Legs",45m,"Calf Press on Seated Leg Press",2,30.0,15,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Calf Press on Seated Leg Press",3,30.0,15,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Calf Press on Seated Leg Press",4,30.0,20,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Seated Leg Press (Machine)",1,100.0,10,0,0,"",,
2023-04-12 15:54:25,"Legs",45m,"Seated Leg Press (Machine)",2,100.0,10,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Seated Leg Press (Machine)",3,110.0,10,0,0,,,
2023-04-12 15:54:25,"Legs",45m,"Seated Leg Press (Machine)",4,118.0,12,0,0,,,
2023-04-14 14:19:59,"Push",1h 33m,"Seated Overhead Press (Dumbbell)",1,15.0,10,0,0,"","",
2023-04-14 14:19:59,"Push",1h 33m,"Seated Overhead Press (Dumbbell)",2,15.0,10,0,0,,,
