Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
9/12/2022 18:35,Simple Push Day,25m,Overhead Press (Dumbbell),1,6,5,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Lateral Raise (Dumbbell),1,6,14,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Lateral Raise (Dumbbell),2,6,8,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Lateral Raise (Dumbbell),3,6,8,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Lateral Raise (Dumbbell),4,6,5,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Cable Crossover,1,0,12,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Cable Crossover,2,7,12,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Cable Crossover,3,7,12,0,0,,,
9/12/2022 18:35,Simple Push Day,25m,Cable Crossover,4,7,12,0,0,,,
9/12/2022 19:03,Legs,15m,Leg Extension (Machine),1,14,8,0,0,,,
9/12/2022 19:03,Legs,15m,Leg Extension (Machine),2,14,6,0,0,,,
9/12/2022 19:03,Legs,15m,Leg Extension (Machine),3,21,8,0,0,,,
9/12/2022 19:03,Legs,15m,Leg Extension (Machine),4,28,8,0,0,,,
9/12/2022 19:03,Legs,15m,Lying Leg Curl (Machine),1,14,8,0,0,,,
9/12/2022 19:03,Legs,15m,Lying Leg Curl (Machine),2,21,8,0,0,,,
9/12/2022 19:03,Legs,15m,Lying Leg Curl (Machine),3,21,8,0,0,,,
9/12/2022 19:03,Legs,15m,Lying Leg Curl (Machine),4,21,5,0,0,,,
9/12/2022 19:03,Legs,15m,Standing Calf Raise (Bodyweight),1,0,15,0,0,,,
9/12/2022 19:03,Legs,15m,Standing Calf Raise (Bodyweight),2,0,30,0,0,,,
9/12/2022 19:20,Back,6m,Lat Pulldown (Cable),1,21,12,0,0,,,
9/12/2022 19:20,Back,6m,Lat Pulldown (Cable),2,21,12,0,0,,,
9/12/2022 19:20,Back,6m,Lat Pulldown (Cable),3,28,8,0,0,,,
9/12/2022 19:20,Back,6m,Lat Pulldown (Cable),4,28,9,0,0,,,
9/12/2022 19:30,Arms ,6m,Bicep Curl (Dumbbell),1,6,8,0,0,,,
9/12/2022 19:30,Arms ,6m,Bicep Curl (Dumbbell),2,4,8,0,0,,,
9/12/2022 19:30,Arms ,6m,Bicep Curl (Dumbbell),3,4,8,0,0,,,
9/12/2022 19:30,Arms ,6m,Bicep Curl (Dumbbell),4,4,8,0,0,,,
9/12/2022 19:36,Neck,3m,Neck Warmup,1,0,0,0,10,,,
9/12/2022 19:36,Neck,3m,Neck Curl,1,3,8,0,0,,,
9/12/2022 19:36,Neck,3m,Neck Curl,2,3,8,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Incline Bench Press (Dumbbell),1,12,10,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Incline Bench Press (Dumbbell),2,12,10,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Incline Bench Press (Dumbbell),3,12,10,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Incline Bench Press (Dumbbell),4,12,10,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Overhead Press (Dumbbell),1,8,6,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Overhead Press (Dumbbell),2,8,6,0,0,,,
17/12/2022 19:51,Simple Push Day,38m,Overhead Press (Dumbbell),3,8,6,0,0,,,
